pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000014,IOVA,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-12-17T00:00:00+00:00,2022-02-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000015,ACMR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-09-15T00:00:00+00:00,2021-09-20T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000015,AMBA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-09-10T00:00:00+00:00,2021-09-10T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000015,CRDO,0,3,0,1.000000,7.500000,2.500000,0.000000,2023-02-03T00:00:00+00:00,2023-02-13T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000015,ENPH,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-11-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000015,FUBO,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-11-01T00:00:00+00:00,2021-11-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000016,ACMR,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-23T00:00:00+00:00,2021-10-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000016,AX,0,1,0,0.000000,0.000000,-0.438800,0.438800,2021-12-06T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000016,CARG,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-10T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000016,IOVA,0,4,0,1.000000,10.000000,2.500000,0.000000,2021-10-19T00:00:00+00:00,2021-11-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000017,ACMR,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-08-16T00:00:00+00:00,2021-08-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
