trade_id,symbol,signal_date,entry_date,signal_close_to_next_open_pct,next_open_to_close_day1_pct,day1_to_day3_pct,day3_to_day5_pct,day5_to_day10_pct,mae_pct,mfe_pct,net_return_x2_pct
DSS-BO-001-00082,SG,2024-10-08,2024-10-09,0.9685863874345557,-2.670469276639875,4.688332445391574,-3.4605597964376567,-2.7675276752767486,-10.00777806585429,3.059372569354424,-4.5557168784029045
DSS-BO-001-00083,SKYW,2024-10-08,2024-10-09,0.681529398174896,0.21798990362551507,6.170578133943905,3.6445978003019297,-2.913025384935508,-1.3308857273978902,11.08306562643413,6.867462138595681
DSS-BO-001-00084,UPST,2024-10-08,2024-10-09,0.18652366519000818,0.13963230160578544,25.656518707878217,0.5733308673941284,-8.514159617506445,-2.9322783337211944,33.58156853618803,15.578450081452178
DSS-BO-001-00085,FOUR,2024-10-09,2024-10-10,-1.197732862795431,0.8334235306851401,1.0412194074710168,0.6267927334537404,-1.0346283783783772,-0.909189306201974,4.94642277302737,1.2611970992531643
DSS-BO-001-00086,AAON,2024-10-11,2024-10-14,0.36721898790863516,-0.7317508477601375,-0.8270406328658719,-1.1693255982595963,10.492524993121165,-6.478672139925045,8.959485989648396,7.304908084954476
DSS-BO-001-00087,AMBA,2024-10-11,2024-10-14,0.8886653252850429,-0.1329566229017809,-4.326843068730235,-0.40006957731779647,3.615089067411814,-7.1464184809705955,1.5622403190958867,-1.5960445404686774
DSS-BO-001-00088,MNDY,2024-10-11,2024-10-14,0.8046691531979455,-0.05481517009831016,-2.012134507935426,1.3503113412159928,2.6335772469971097,-5.0018842714721234,3.658912604063169,1.6705676796053393
DSS-BO-001-00089,CARG,2024-10-14,2024-10-15,0.0964010282776373,0.9630818619582593,0.41335453100159736,1.4566181127295685,-1.8414481897627955,-1.0272873194221543,3.8844301765650124,0.7630818619582593
DSS-BO-001-00090,SOUN,2024-10-14,2024-10-15,1.7341040462427681,0.5681818181818121,3.578154425612068,-4.181818181818187,14.041745730550282,-7.954545454545448,18.37121212121211,13.625757575757568
DSS-BO-001-00091,AAPL,2024-10-15,2024-10-16,-0.9133600448063439,0.030436105917641676,2.0255585499434847,-2.419904567143838,-0.2837932238910268,-1.7044219313883335,2.217487716857258,-0.8956824209748302
DSS-BO-001-00092,TSLA,2024-10-25,2024-10-28,0.2823284668821202,-2.756065938136687,-4.822673421964874,-2.8056834100460226,44.12782078734969,-11.509538803482123,32.854232265234295,29.453639562882028
DSS-BO-001-00093,FUBO,2024-10-28,2024-10-29,1.117313234109707,-1.1049672883642225,-15.08372866048109,-7.894693559794086,8.571377551324112,-23.75679669983103,3.0386600430016397,-16.222025681281384
DSS-BO-001-00094,AMBA,2024-10-29,2024-10-30,-2.2590606208353625,-1.5297638842700412,-3.613644039175956,5.606166783461819,-3.4173855341738557,-6.617891586298641,3.7745261057532398,-3.3925507149983436
DSS-BO-001-00095,GOOGL,2024-10-29,2024-10-30,6.518000118616918,-3.4799554565701607,-2.9881742140178913,4.293274662543856,1.3455727236444615,-7.043429844098004,0.9632516703786287,-1.230066815144759
DSS-BO-001-00096,AMZN,2024-10-30,2024-10-31,-1.0947958283609172,-2.213828559437625,7.0278969957081605,5.288220551378453,0.6807902880266559,-2.8276151505613356,13.261987199664249,10.743237855419153
DSS-BO-001-00097,GOOG,2024-10-30,2024-10-31,-0.7998628806490382,-1.1691527961757764,-0.7400932400932314,6.3406328890976305,-2.7052393308673373,-3.0063929044519933,5.32166100328284,1.2974370788458203
DSS-BO-001-00098,SKYW,2024-11-01,2024-11-04,-0.7697621632290597,-1.3028344107409273,12.424425634824665,2.32141256610201,-4.081990189208129,-2.5360517155643914,15.832918945798102,8.701044256588775
DSS-BO-001-00099,FRPT,2024-11-04,2024-11-05,1.4943215780035768,-0.804868472712994,3.206016227983377,-0.8756791307126699,0.8382770183131161,-2.6043711556078986,4.122497055359253,2.129538018583954
DSS-BO-001-00100,IOVA,2024-11-04,2024-11-05,-0.7867132867132809,2.7312775330396555,-9.176672384219554,-8.498583569405104,-15.479876160990713,-28.634361233480178,10.220264317180616,-28.04140969162996
DSS-BO-001-00101,PRVA,2024-11-04,2024-11-05,-1.144640998959412,1.6315789473684061,10.305541170378053,6.009389671361487,-6.510186005314433,-0.526315789473697,22.05263157894737,10.90526315789473
DSS-BO-001-00102,CARG,2024-11-06,2024-11-07,0.15202189115230968,1.2750455373406355,12.410071942446056,-4.293333333333327,-0.4458066313736575,-0.4857316332726014,15.179113539769284,8.269945355191254
DSS-BO-001-00103,CRDO,2024-11-06,2024-11-07,1.8940248027057516,4.049568488603694,-1.2122501063377311,-9.795479009687845,10.453460620525057,-13.299402522682001,8.29829608320425,2.21203806151804
DSS-BO-001-00104,FOUR,2024-11-06,2024-11-07,-0.5102040816326481,0.041025641025638215,1.6198482673774883,-0.34301856335754444,10.629682121887019,-1.7435897435897463,12.57435897435899,11.882051282051286
DSS-BO-001-00105,GH,2024-11-06,2024-11-07,28.074337682878614,-11.732016054337757,3.9874081846799525,1.6145307769929396,2.548824892419721,-12.966965112689099,3.8592158073479377,-4.553195430688484
DSS-BO-001-00106,MNDY,2024-11-06,2024-11-07,0.0,0.8005569091541931,-18.19751381215471,3.1889174565409295,2.737076980290065,-20.102521912476657,2.8351738758978673,-12.784248330854664
DSS-BO-001-00107,NVDA,2024-11-06,2024-11-07,0.5365249690466367,1.7036124794745477,-0.3969054826774343,-1.0333648520869931,-0.061420869446526805,-6.308155446086483,4.440339354132461,-0.008429118773944748
DSS-BO-001-00108,SG,2024-11-06,2024-11-07,1.5609990393852025,-0.21281626862141856,-10.18957345971565,-11.187335092348293,22.549019607843146,-22.51123196973279,1.1350200993142767,-2.659210215180896
DSS-BO-001-00109,BROS,2024-11-07,2024-11-08,-1.6528925619834767,7.154213036565982,0.5722763883001303,-1.7702845100105447,9.847672173353361,-0.9311832841244705,20.32704973881443,16.084351578469235
DSS-BO-001-00110,COST,2024-11-07,2024-11-08,0.007720900477603543,3.26017425829932,-1.067011300279841,-2.8555388817515293,6.277922251116874,-0.9231278261828568,6.815925885077756,5.271490018749292
DSS-BO-001-00111,OLLI,2024-11-07,2024-11-08,-0.1410863650105787,-0.09082652134423386,-6.919191919191913,-0.2387411828540409,2.9152616120961428,-12.322131395700886,0.928448884852151,-4.721142395801802
DSS-BO-001-00112,UPST,2024-11-08,2024-11-11,-2.2098765432098877,-2.1840676682236992,-13.022715539494067,1.3058317257753416,16.478687564083792,-18.44464082817826,8.660522661280146,0.19136472667593568
DSS-BO-001-00113,ZETA,2024-11-11,2024-11-12,-9.363091997822547,-15.255255255255252,-37.703756201275695,25.255972696245756,-8.991825613079019,-51.5015015015015,2.7027027027027195,-40.019819819819816
DSS-BO-001-00114,AMBA,2024-11-22,2024-11-25,1.3832128261553,4.325581395348843,6.330806954971013,0.40531097134872685,0.5289532293986543,-0.015503875969002934,26.07751937984495,11.768992248062006
DSS-BO-001-00115,APPF,2024-11-22,2024-11-25,1.2046701596600595,2.343972932208227,1.0714570222257525,3.0857142857142694,-1.8999923541555108,-0.29758265052381994,11.287758346581867,4.406416371122268
DSS-BO-001-00116,LRN,2024-11-25,2024-11-26,-0.4713868200245108,2.728047740835482,-1.3462425080682405,3.551733806897861,-4.115894936366105,-0.5683432793407217,6.848536516055703,0.4251776072748072
DSS-BO-001-00117,AAPL,2024-11-26,2024-11-27,-0.2654450485935711,0.2103455677183952,3.285640849897198,0.16175189747418273,2.024844720496888,-0.26615153466408303,6.980038634900199,5.569478428847385
DSS-BO-001-00118,COST,2024-12-03,2024-12-04,-0.014369290772864307,0.9074484684240769,-0.3082400813835151,0.6908374746165791,-3.0109248636925656,-1.833374394350007,2.673072185267311,-1.9584380389258471
DSS-BO-001-00119,CARG,2024-12-04,2024-12-05,0.3610108303249149,-1.3874614594039048,-0.7034914017717608,-0.9183941222776215,-4.449152542372881,-7.656731757451196,0.4624871531346386,-7.49701952723536
DSS-BO-001-00120,GH,2024-12-04,2024-12-05,-0.5772763054316399,-2.058590657165482,-4.257612503368358,-1.6605685336335552,-10.904407555809959,-18.606492478226443,0.5806281340723141,-18.041119028767493
DSS-BO-001-00121,TSLA,2024-12-05,2024-12-06,2.1597336869739525,3.112830158688107,9.133651919223041,2.6979306448195572,-3.4775233248515725,-1.7670278432723174,29.42485495536069,11.347937584443791
DSS-BO-001-00122,AMZN,2024-12-11,2024-12-12,-0.29097541909145486,-0.2700466048172867,0.9520897934227168,-3.4003893575600297,0.2060101213668286,-4.730171174702735,1.4852563264950547,-2.743664793762801
DSS-BO-001-00123,AVGO,2024-12-11,2024-12-12,-1.2416163183859075,-0.1459280462479562,32.971727277837104,-9.122035761085511,11.033071305642128,-2.7277319414042656,39.21535612055902,33.77878430712242
DSS-BO-001-00124,AAPL,2024-12-16,2024-12-17,-0.3407496492283002,1.3153660498793185,0.3970302139992832,1.459247834855848,-5.558154038041785,-3.3467417538213917,3.934030571198721,-2.7341914722445626
DSS-BO-001-00125,INSP,2025-01-03,2025-01-06,1.3438695389571098,1.648870126645141,-1.0700151463331253,-16.04602923745554,11.212424260250597,-16.200645641917067,7.280854233921041,-6.308765830643148
DSS-BO-001-00126,FUBO,2025-01-06,2025-01-07,7.312393569191156,0.5524836441821224,-18.49823642443641,-11.68534949307305,1.5267110826501895,-35.35910669533444,18.78444390219196,-26.719368388420563
DSS-BO-001-00127,NVDA,2025-01-06,2025-01-07,2.3993029957777523,-8.416781202958301,-4.931036947044953,2.262647523115069,8.056453984122314,-15.36095294194646,0.07199424046078207,-3.9895150206165297
DSS-BO-001-00128,NXT,2025-01-07,2025-01-08,-3.8934426229508268,0.7581141909500211,-0.4232306607100833,6.8949232585596265,-9.432295118179812,-8.528784648187637,10.210850509357972,-3.066619284529737
DSS-BO-001-00129,GH,2025-01-13,2025-01-14,0.20997375328084544,-1.8858040859088487,-2.135611318740005,28.75068194217132,0.9533898305084554,-6.181246726034573,30.59193294918805,24.6035620743845
DSS-BO-001-00130,FRPT,2025-01-15,2025-01-16,-0.5225342913128594,1.739986868023613,2.400774443368836,-0.19537404676370773,1.0040414246021534,-0.5055810899540436,7.728168089297416,4.822980958634249
DSS-BO-001-00131,FOUR,2025-01-17,2025-01-21,0.6652661064425747,0.9826086956521651,0.5424954792043524,0.6337786913326537,0.5702127659574563,-4.043478260869571,7.173913043478253,2.556521739130435
DSS-BO-001-00132,PRVA,2025-01-17,2025-01-21,1.6187050359712352,0.5752212389380507,-0.6599208095028675,0.6643046944198483,1.935767707875069,-1.592920353982319,3.9380530973451178,2.3221238938053057
DSS-BO-001-00133,FN,2025-01-21,2025-01-22,1.8564061880206095,4.073525975543291,-24.40128723245023,2.8263129238232043,2.917107923365747,-28.612041436248926,9.73985512890414,-16.938063712127104
DSS-BO-001-00134,AMZN,2025-01-22,2025-01-23,-0.6382707118846032,0.8179521219648045,1.1596295981649796,-1.473861011967259,1.7857142857143016,-3.276090959701927,3.858507130315636,2.0782750203417466
DSS-BO-001-00135,HIMS,2025-01-23,2025-01-24,0.35610229847846675,-0.4193548387096735,3.206997084548102,17.011927181418706,14.13626609442058,-6.129032258064515,48.41935483870967,37.05806451612903
DSS-BO-001-00136,COST,2025-01-27,2025-01-28,-0.3540322075317959,-0.3290887177068602,2.212384727815686,4.284759014453998,3.6845220479431617,-0.8080490488916792,10.952156369543587,9.955635906304039
DSS-BO-001-00137,DLO,2025-01-27,2025-01-28,-0.17152658662091813,1.8900343642611617,4.468802698145025,-0.32284100080710587,-1.6194331983805599,-0.773195876288657,10.137457044673525,4.181443298969079
DSS-BO-001-00138,BROS,2025-02-06,2025-02-07,0.0,-1.4317343173431696,-3.0997304582210394,26.67284809148509,-8.124923752592405,-8.324723247232468,28.236162361623606,10.958671586715862
DSS-BO-001-00139,PRVA,2025-02-10,2025-02-11,-0.8392782207301663,1.3118916631400968,5.4302422723475186,1.030110935023787,-5.647058823529417,-0.5924672027084243,8.63309352517987,1.619720694033
DSS-BO-001-00140,UPST,2025-02-12,2025-02-13,-1.2616875070406541,-3.981745579007423,-1.2476235741444852,-13.644567440741195,-7.106033161488079,-27.335995436394754,10.017113519680553,-24.136109526525964
