episode_id,episode_type,policy,offset,symbol,first_signal_date,source_first_signal_date,offset_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct
EPISODE_GAP_5-TXN-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,TXN,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,182.48,184.28,10,False,0.9864094695309245,0.8864094695309244,0.7864094695309245,0.6864094695309244
EPISODE_GAP_5-AXP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,AXP,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-06-03,236.95,231.17,10,False,-2.4393331926566786,-2.5393331926566787,-2.6393331926566788,-2.7393331926566784
EPISODE_GAP_5-ENPH-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ENPH,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-06-03,116.68,127.55,10,False,9.31607816249571,9.21607816249571,9.116078162495711,9.016078162495711
EPISODE_GAP_5-MRK-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MRK,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-06-03,121.6,119.49,10,False,-1.7351973684210487,-1.8351973684210487,-1.9351973684210488,-2.0351973684210485
EPISODE_GAP_5-MU-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MU,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-06-03,127.47,127.28,10,False,-0.14905467953243434,-0.24905467953243435,-0.34905467953243435,-0.44905467953243433
EPISODE_GAP_5-NFLX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,NFLX,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-06-03,61.7,63.38,10,False,2.7228525121555824,2.6228525121555823,2.5228525121555823,2.4228525121555826
EPISODE_GAP_5-SO-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,SO,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-06-03,73.68,75.29,10,False,2.185124864277954,2.085124864277954,1.985124864277954,1.8851248642779543
EPISODE_GAP_5-APPF-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,APPF,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,239.89,226.96,10,False,-5.389970403101407,-5.489970403101408,-5.5899704031014075,-5.689970403101407
EPISODE_GAP_5-CAVA-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CAVA,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,77.59,88.34,10,False,13.854878205954368,13.754878205954368,13.654878205954368,13.554878205954369
EPISODE_GAP_5-CMG-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CMG,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,64.4,61.58,10,False,-4.378881987577654,-4.478881987577655,-4.578881987577654,-4.678881987577654
EPISODE_GAP_5-GOOG-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GOOG,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,175.76,173.6,10,False,-1.228948566226673,-1.3289485662266731,-1.428948566226673,-1.5289485662266729
EPISODE_GAP_5-PDD-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PDD,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,147.62,145.88,10,False,-1.178702072889859,-1.278702072889859,-1.378702072889859,-1.4787020728898588
EPISODE_GAP_5-SKYW-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,SKYW,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,76.0,78.63,10,False,3.4605263157894584,3.3605263157894583,3.260526315789458,3.160526315789458
EPISODE_GAP_5-UNP-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,UNP,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,232.82,217.6,10,False,-6.53723906880852,-6.637239068808521,-6.73723906880852,-6.83723906880852
EPISODE_GAP_5-XOM-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,XOM,2024-05-17,2024-05-17,2024-05-17,2024-05-20,2024-06-04,112.12,105.51,10,False,-5.895469140206922,-5.995469140206922,-6.095469140206921,-6.195469140206922
EPISODE_GAP_5-CRWD-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,CRWD,2024-05-20,2024-05-20,2024-05-20,2024-05-21,2024-06-05,85.77,85.55,10,False,-0.2564999417045577,-0.3564999417045577,-0.4564999417045577,-0.5564999417045577
EPISODE_GAP_5-GOOGL-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GOOGL,2024-05-20,2024-05-20,2024-05-20,2024-05-21,2024-06-05,175.35,173.87,10,False,-0.8440262332477855,-0.9440262332477856,-1.0440262332477854,-1.1440262332477853
