symbol,benchmark_only,status,reason,bars,first_date,last_date,expected_last_valid_bar_date,path
GE,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/GE.csv
HON,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/HON.csv
ETN,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ETN.csv
EMR,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/EMR.csv
BA,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/BA.csv
LMT,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/LMT.csv
RTX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/RTX.csv
UPS,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/UPS.csv
FDX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/FDX.csv
UNP,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/UNP.csv
CSX,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CSX.csv
NEE,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/NEE.csv
DUK,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/DUK.csv
SO,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SO.csv
PLTR,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/PLTR.csv
APP,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/APP.csv
CME,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CME.csv
ADP,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ADP.csv
CDNS,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/CDNS.csv
SNPS,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SNPS.csv
ADI,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/ADI.csv
MRVL,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/MRVL.csv
APH,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/APH.csv
TTD,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/TTD.csv
DDOG,False,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/DDOG.csv
SPY,True,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/SPY.csv
QQQ,True,DATA_READY,ok,752,2023-07-05,2026-07-02,2026-07-02,artifacts/runtime/daily_swing/daily_ohlcv_research/QQQ.csv
