period_start,period_end,period_type,pattern_id,event_count,trade_count,gross_pnl,net_pnl,winrate,profit_factor,max_drawdown,market_regime,notes
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000004,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000146,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000323,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000378,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000434,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000459,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000466,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000469,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000490,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000495,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000534,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
